paragraph,company,are_they_making_money_off_the_data,can_they_access_other_data_on_your_phone_without_your_permission,can_they_track_your_search_history_outside_of_the_service,can_you_opt_out_of_sections_of_the_policy,conscientious,text_addresses_questions,do_they_protect_information_about_children,do_they_sell_demographic_information,do_they_sell_geolocation_data,do_they_sell_your_data_to_just_anyone,do_they_sell_your_data_to_trusted_3rd_parties,do_you_own_the_pictures_you_post,if_you_delete_your_account_is_your_data_deleted,is_data_provided_to_law_enforcement,is_your_sensitive_financial_data_protected,text_addresses_questions,text_doesnt_address_questions,will_this_company_use_your_data_in_advertising
"Widget Data: We may tailor the Services for you based on your visits to third-party websites that integrate Twitter buttons or widgets. When these websites first load our buttons or widgets for display, we receive Log Data that includes the web page you visited and a cookie that identifies your browser (“Widget Data”). After a maximum of 10 days, we start the process of deleting, de-identifying, or aggregating Widget Data, which is usually instantaneous but in some cases may take up to a week. We may use Widget Data to tailor content for you, such as suggestions for people to follow and other content you may be interested in. Tailored content is stored with only browser cookies or device IDs and is separated from other Widget Data such as page-visit information. Learn more about the feature, including how you can suspend it or turn it off, here. For Tweets, Log Data, and other information that we receive from interactions with Twitter buttons or widgets, please see the other sections of this Privacy Policy.",Twitter,1,0,0,1,0,14,0,0,1,0,4,0,0,0,0,14,0,3
"Reader Surveys, Reader Panels and Market Research

The New York Times may collect personal information from you in connection with voluntary surveys conducted via the NYT Services. Data may be collected through the NYT Services, on the phone or through the mail. The information you provide may be shared, but only in the aggregate, with advertisers and partners unless we notify you otherwise at the time of collection.

Members of our Reader Panels agree to participate in surveys, polls or discussions about their readership of The New York Times, their household/personal characteristics and their purchase behavior. Our panels are currently administered by Vision Critical and Beta Research.",NY Times,0,0,0,0,0,10,0,1,0,0,5,0,0,0,0,10,0,3
"Protecting your privacy
- We take precautions to prevent unauthorized access to or misuse of data about you.
- We do not run ads, other than the classifieds posted by our users.
We do not share your data with third parties for marketing purposes.
- We do not engage in cross-marketing or link-referral programs.
- We do not employ tracking devices for marketing purposes.
- We do not send you unsolicited communications for marketing purposes.
- We do not engage in affiliate marketing (and prohibit it on CL).
- We do provide email proxy & relay services to reduce unwanted email.
- Please review privacy policies of any third party sites linked to from CL.",Craigslist,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,1
"WHAT IS OUR EMAIL POLICY?

Survey Email. We may invite you to participate in user surveys asking for feedback on NYTimes.com and existing or prospective products and services, as well as information to better understand our users. User surveys greatly help us to improve the NYT Services, and any information we obtain in such surveys will not be shared with third parties, except in aggregate form.

Emails From You. If you send us an email, we will use your email address to respond directly to your questions or comments.

Email This Article Feature. Addresses you provide in the “Email” share feature may be saved for your convenience for future articles you may wish to email; but they are not used for any other purpose, and will not be shared with any third parties.",NY Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WHAT INFORMATION DO WE GATHER ABOUT YOU?
The information gathered when you interact with the NYT Services falls into two categories: 1) Personal information, which includes personal information you supply when you subscribe, order, complete a survey, register for one of our sites, enter a contest or provide your email address and 2) Non-personal information collected through technology, which includes tracking information collected by us as well as third parties.",NY Times,1,1,2,0,0,10,0,2,2,2,5,0,0,2,0,10,0,2
"User Generated Content and Public Activities (Including Comments, Reader Reviews and TimesPeople)

We are not responsible for the personal information you choose to submit in the course of your public activities and we have no responsibility to publish, take down, remove or edit any of your public activities or submissions. 

Public activities may be included in our RSS feeds, APIs and other distribution formats. As a result, your public activities may appear on other websites, blogs, or feeds. Keep in mind that we are not responsible for any personal information you choose to make public via your public activities, and you agree that such sharing will be deemed to have been done by you, not The New York Times. Please see our Comments FAQ for additional information.

When you share or recommend links to content on a third-party platform (such as Facebook, Google+ and Twitter), that action and any information you share will be covered by their privacy policy.",NY Times,0,0,0,0,0,10,0,0,0,4,1,0,0,0,0,10,0,0
"1. INFORMATION WE COLLECT

We collect the following types of information.

Information you provide us directly:

Your username, password and e-mail address when you register for an Instagram account.
Profile information that you provide for your user profile (e.g., first and last name, picture, phone number). This information allows us to help you or others be ""found"" on Instagram.
User Content (e.g., photos, comments, and other materials) that you post to the Service.
Communications between you and Instagram. For example, we may send you Service-related emails (e.g., account verification, changes/updates to features of the Service, technical and security notices). Note that you may not opt out of Service-related e-mails.",Instagram,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,4,0,0
"WHAT DO WE DO WITH THE INFORMATION WE GATHER ABOUT YOU?
Provide the Services You Request

We use the information we gather about you to enable your use of the NYT Services and fulfill your requests for certain products and services, such as sending out electronic newsletters and enabling you to participate in and renew paid services, polls, contests and message boards.

Statistical Analysis

We perform statistical, demographic and marketing analyses of users of the NYT Services, and their subscribing and purchasing patterns, for product development purposes and to generally inform advertisers about the nature of our subscriber base. We use this information for analysis purposes, including analysis to improve customer relationships.

Email Newsletters

The New York Times will periodically send you email newsletters or promotional email about services offered by The New York Times and its advertisers. For details about New York Times email, please see the section labeled ""What Is Our Email Policy?""",NY Times,2,0,0,0,0,18,0,2,1,0,5,0,0,0,0,18,0,9
"Cookies: Like many websites, we use cookies and similar technologies to collect additional website usage data and to improve our Services, but we do not require cookies for many parts of our Services such as searching and looking at public user profiles. A cookie is a small data file that is transferred to your computer or mobile device. Twitter may use both session cookies and persistent cookies to better understand how you interact with our Services, to monitor aggregate usage by our users and web traffic routing on our Services, and to customize and improve our Services. Although most web browsers automatically accept cookies, some browsers’ settings can be modified to decline cookies or alert you when a website is attempting to place a cookie on your computer. However, some Services may not function properly if you disable cookies. We honor the Do Not Track browser option to give you control over how your website visits are used to personalize your Twitter experience and ads. Learn more about our Do Not Track support here, and about how we use cookies and similar technologies here.",Twitter,0,2,4,3,0,8,0,2,2,1,2,1,0,2,0,8,0,2
"WHAT IS OUR EMAIL POLICY?
The New York Times complies with the federal CAN-SPAM Act of 2003. We will not send you marketing messages if you have opted out. You can choose not to receive messages in the future by either (1) following the ""unsubscribe"" instructions located near the bottom of each email, or (2) you can opt-out here. We will not share, sell, rent, swap or authorize any third party to use your email address for commercial purposes without your permission. If you feel you have received an email from us in error, please contact feedback@nytimes.com.

Email Newsletters. The New York Times offers several email newsletters. If you no longer wish to receive a specific newsletter, follow the ""unsubscribe"" instructions located near the bottom of each newsletter. To manage your newsletter preferences, please click here.",NY Times,0,0,0,5,0,12,0,0,0,0,2,0,0,0,0,12,0,0
"In some of our email messages, we use a click-through URL linked to content on the Apple website. When customers click one of these URLs, they pass through a separate web server before arriving at the destination page on our website. We track this click-through data to help us determine interest in particular topics and measure the effectiveness of our customer communications. If you prefer not to be tracked in this way, you should not click text or graphic links in the email messages.Pixel tags enable us to send email messages in a format customers can read, and they tell us whether mail has been opened. We may use this information to reduce or eliminate messages sent to customers.",Apple,0,1,4,1,0,8,0,1,1,1,0,0,0,1,0,8,0,1
"When this Privacy Policy applies
Our Privacy Policy applies to all of the services offered by Google Inc. and its affiliates, including YouTube, services Google
provides on Android devices, and services offered on other sites (such as our advertising services), but excludes services that
have separate privacy policies that do not incorporate this Privacy Policy.
Our Privacy Policy does not apply to services offered by other companies or individuals, including products or sites that may be
displayed to you in search results, sites that may include Google services, or other sites linked from our services. Our Privacy
Policy does not cover the information practices of other companies and organizations who advertise our services, and who may
use cookies, pixel tags and other technologies to serve and offer relevant ads.
Compliance and cooperation with regulatory authorities",Google,0,0,0,0,0,8,0,1,1,1,2,0,0,3,0,8,0,2
"WHAT DO WE DO WITH THE INFORMATION WE GATHER ABOUT YOU?

Customizing Your Experience

We use the information that we collect to allow advertising to be targeted to the users for whom such advertising is most pertinent. We also use this information to customize certain features of the NYT Services to provide you with an enhanced experienced based on the type of device you are using to access the NYT Services, and in certain cases, provide you with requested services.

Relevant Advertising

We may use demographic and preference information to allow advertising on the NYT Service to be targeted to the users for whom they are most pertinent. This means users see advertising that is most likely to interest them, and advertisers send their messages to people who are most likely to be receptive, improving both the viewer's experience and the effectiveness of the ads. We disclose information to third parties only in aggregate or de-identified form.",NY Times,2,0,0,0,0,18,0,6,1,1,8,0,0,0,0,18,0,8
"Analytics, Log Files and Reading History

As is true of most web sites, we gather certain information automatically and store it in log files. This information may include Internet protocol (IP) addresses (the region or general location where your computer or device is accessing the Internet), browser type, operating system and other usage information about the use of the NYT Services, including a history of the pages you view.

We may combine this automatically collected log information with other information we collect about you. We do this to improve services we offer you, including customized Recommendations, advertising and currency display, to improve marketing, and to track access and use of the NYT Services across the devices that you use to access the NYT Services.",NY Times,2,2,2,0,0,14,0,0,3,0,4,0,0,0,0,14,0,6
"Third_Party Sites and ServicesApple websites, products, applications, and services may contain links to third-party websites, products, and services. Our products and services may also use or offer products or services from third parties _ for example, a third_party iPhone app. Information collected by third parties, which may include such things as location data or contact details, is governed by their privacy practices. We encourage you to learn about the privacy practices of those third parties.",Apple,1,0,0,0,0,14,0,0,2,0,7,0,0,0,0,14,0,1
"Location Information: Twitter may receive information about your location. For example, you may choose to publish your location in your Tweets and in your Twitter profile. You may also tell us your location when you set your trend location on Twitter.com. We may also determine location by using other data from your device, such as precise location information from GPS, information about wireless networks or cell towers near your mobile device, or your IP address. We may use and store information about your location to provide features of our Services, such as Tweeting with your location, and to improve and customize the Services, for example, with more relevant content like local trends, stories, ads, and suggestions for people to follow. Learn more about our use of location here, and how to set your location preferences here.",Twitter,0,1,0,0,0,12,0,0,5,0,1,0,0,0,0,12,0,1
"Commerce Services: You may provide your payment information, including your credit or debit card number, card expiration date, CVV code, and billing address (collectively, “Payment Information”), along with your shipping address, to complete a commerce transaction through our Services. To facilitate future purchases, we store your Payment Information (excluding CVV code) and shipping address, which you can remove from your account at any time using your account settings. We consider your Payment Information and shipping address private and do not make such information public. We collect and store information created by your purchases made through our Services (“Transaction Data”). Transaction Data may include the merchant’s name and the date, time, and amount of the transaction.",Twitter,0,0,0,0,0,18,0,1,1,1,3,0,0,0,6,18,0,0
"Commerce Transactions: If you make a payment as part of a commerce transaction through our Services, we may provide the seller, commerce provider, marketplace, or charity with your name, email address, shipping address, Payment Information and Transaction Data to facilitate payment processing, order fulfilment, and dispute resolution (including payment and shipping disputes) and to help prevent, detect, and investigate fraud or other prohibited activities. Please refer to these third parties’ privacy policies for information about their privacy practices.",Twitter,0,0,0,0,0,18,0,2,1,0,9,0,0,4,1,18,0,0
"SHARING OF YOUR INFORMATION
We may access, preserve and share your information in response to a legal request (like a search warrant, court order or subpoena) if we have a good faith belief that the law requires us to do so. This may include responding to legal requests from jurisdictions outside of the United States where we have a good faith belief that the response is required by law in that jurisdiction, affects users in that jurisdiction, and is consistent with internationally recognized standards. We may also access, preserve and share information when we have a good faith belief it is necessary to: detect, prevent and address fraud and other illegal activity; to protect ourselves, you and others, including as part of investigations; and to prevent death or imminent bodily harm. Information we receive about you may be accessed, processed and retained for an extended period of time when it is the subject of a legal request or obligation, governmental investigation, or investigations concerning possible violations of our terms or policies, or otherwise to prevent harm.",Instagram,0,0,0,0,0,18,0,0,0,0,1,0,0,9,0,18,0,0
"Information we collect
We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak,
to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube
videos you might like.
We collect information in the following ways:
Information you give us. For example, many of our services require you to sign up for a Google Account. When you
do, we’ll ask for personal information, like your name, email address, telephone number or credit card to store with your
account. If you want to take full advantage of the sharing features we offer, we might also ask you to create a publicly
visible Google Profile, which may include your name and photo.
Information we get from your use of our services. We collect information about the services that you use and how
you use them, like when you watch a video on YouTube, visit a website that uses our advertising services, or view and
interact with our ads and content. This information includes:",Google,0,0,0,0,0,14,0,2,1,0,1,0,0,0,0,14,0,7
"How we use information we collect
If you have a Google Account, we may display your Profile name, Profile photo, and actions you take on Google or on thirdparty
applications connected to your Google Account (such as +1’s, reviews you write and comments you post) in our services,
including displaying in ads and other commercial contexts. We will respect the choices you make to limit sharing or visibility
settings in your Google Account. When you contact Google, we keep a record of your communication to help solve any issues you might be facing. We may use
your email address to inform you about our services, such as letting you know about upcoming changes or improvements.
We use information collected from cookies and other technologies, like pixel tags, to improve your user experience and the
overall quality of our services. One of the products we use to do this on our own services is Google Analytics. For example, by
saving your language preferences, we’ll be able to have our services appear in the language you prefer. When showing you
tailored ads, we will not associate an identifier from cookies or similar technologies with sensitive categories, such as those
based on race, religion, sexual orientation or health.",Google,2,0,0,0,0,18,0,0,0,1,7,0,0,0,0,18,0,7
"You can delete your imported address book contacts at any time. Learn more here. If you email us, we may keep your message, email address and contact information to respond to your request. If you connect your account on our Services to your account on another service in order to cross-post between our Services and that service, the other service may send us your registration or profile information on that service and other information that you authorize. This information enables cross-posting, helps us improve the Services, and is deleted from our Services within a few weeks of your disconnecting from our Services your account on the other service. Learn more here. Providing the additional information described in this section is entirely optional.",Twitter,0,0,0,0,0,8,0,0,0,0,4,0,1,0,0,8,0,0
"INFORMATION WE COLLECT
Finding your friends on Instagram:

If you choose, you can use our ""Find friends"" feature to locate other people with Instagram accounts either through (i) your contacts list, (ii) third-party social media sites or (iii) through a search of names and usernames on Instagram.
If you choose to find your friends through (i) your device's contacts list, then Instagram will access your contacts list to determine whether or not someone associated with your contact is using Instagram.
If you choose to find your friends through a (ii) third-party social media site, then you will be prompted to set up a link to the third-party service and you understand that any information that such service may provide to us will be governed by this Privacy Policy.",Instagram,1,3,2,0,0,12,0,2,2,2,5,1,0,2,0,12,0,2
"HOW WE STORE YOUR INFORMATION

We use commercially reasonable safeguards to help keep the information collected through the Service secure and take reasonable steps (such as requesting a unique password) to verify your identity before granting you access to your account. However, Instagram cannot ensure the security of any information you transmit to Instagram or guarantee that information on the Service may not be accessed, disclosed, altered, or destroyed.
Please do your part to help us. You are responsible for maintaining the secrecy of your unique password and account information, and for controlling access to emails between you and Instagram, at all times. Your privacy settings may also be affected by changes the social media services you connect to Instagram make to their services. We are not responsible for the functionality, privacy, or security measures of any other organization.",Instagram,0,0,1,0,0,6,0,0,0,0,3,0,0,2,0,6,0,0
"Disclosure to Third PartiesIt may be necessary _ by law, legal process, litigation, and/or requests from public and governmental authorities within or outside your country of residence _ for Apple to disclose your personal information. We may also disclose information about you if we determine that for purposes of national security, law enforcement, or other issues of public importance, disclosure is necessary or appropriate.We may also disclose information about you if we determine that disclosure is reasonably necessary to enforce our terms and conditions or protect our operations or users. Additionally, in the event of a reorganization, merger, or sale we may transfer any and all personal information we collect to the relevant third party.",Apple,2,0,0,0,0,18,0,0,0,1,7,0,0,9,0,18,0,0
"SHARING OF YOUR INFORMATION
We also may share your information as well as information from tools like cookies, log files, and device identifiers and location data, with third-party organizations that help us provide the Service to you (""Service Providers""). Our Service Providers will be given access to your information as is reasonably necessary to provide the Service under reasonable confidentiality terms.
We may also share certain information such as cookie data with third-party advertising partners. This information would allow third-party ad networks to, among other things, deliver targeted advertisements that they believe will be of most interest to you.
We may remove parts of data that can identify you and share anonymized data with other parties. We may also combine your information with other information in a way that it is no longer associated with you and share that aggregated information.",Instagram,0,0,0,0,0,8,0,0,2,0,4,0,0,0,0,8,0,1
"CHILDREN'S PRIVACY

Instagram does not knowingly collect or solicit any information from anyone under the age of 13 or knowingly allow such persons to register for the Service. The Service and its content are not directed at children under the age of 13. In the event that we learn that we have collected personal information from a child under age 13 without parental consent, we will delete that information as quickly as possible. If you believe that we might have any information from or about a child under 13, please contact us.",Instagram,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,18,0,1
"Our Policy Towards Children
Our Services are not directed to persons under 13. If you become aware that your child has provided us with personal information without your consent, please contact us here. We do not knowingly collect personal information from children under 13. If we become aware that a child under 13 has provided us with personal information, we take steps to remove such information and terminate the child’s account. You can find additional resources for parents and teens here.",Twitter,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,18,0,0
"International UsersAll the information you provide may be transferred or accessed by entities around the world as described in this Privacy Policy. Apple abides by the ìsafe harborî frameworks set forth by the U.S. Department of Commerce regarding the collection, use, and retention of personal information collected by organizations in the European Economic Area and Switzerland. Learn more about the U.S. Department of Commerce Safe Harbor Program.Please note that personal information, including the information provided when using iCloud, regarding individuals who reside in a member state of the European Economic Area (EEA) and Switzerland is controlled by Apple Distribution International in Cork, Ireland, and processed on its behalf by Apple Inc. Personal information collected in the EEA and Switzerland when using iTunes is controlled by iTunes SARL in Luxembourg and processed on its behalf by Apple Inc.",Apple,0,0,0,0,0,16,0,0,0,1,5,0,0,3,0,16,0,1
"User Consent or Direction: We may share or disclose your information at your direction, such as when you authorize a third-party web client or application to access your account. Other users may share or disclose information about you, such as when they mention you, share a photo of you, or tag you in a photo. Your privacy settings control who can tag you in a photo on the Twitter Services. If you’ve shared information, like direct messages or protected Tweets, with another user who accesses the Twitter Services through a third-party service, keep in mind that the information may be shared with the third-party service.",Twitter,0,0,1,1,0,14,0,1,2,1,7,0,0,1,0,14,0,1
"Service Providers: We engage service providers to perform functions and provide services to us in the United States, Ireland, and other countries. We may share your private personal information with such service providers subject to obligations consistent with this Privacy Policy and any other appropriate confidentiality and security measures, and on the condition that the third parties use your private personal data only on our behalf and pursuant to our instructions. We share your Payment Information with payment services providers to process payments; prevent, detect and investigate fraud or other prohibited activities; facilitate dispute resolution such as chargebacks or refunds; and for other purposes associated with the acceptance of credit or debit cards. ",Twitter,0,0,0,0,0,16,0,1,0,0,8,0,0,3,1,16,0,0
"Protection of Personal InformationApple takes the security of your personal information very seriously. Apple online services such as the Apple Online Store and iTunes Store protect your personal information during transit using encryption such as Transport Layer Security (TLS). When your personal data is stored by Apple, we use computer systems with limited access housed in facilities using physical security measures. iCloud data is stored in encrypted form including when we utilize third-party storage.When you use some Apple products, services, or applications or post on an Apple forum, chat room, or social networking service, the personal information and content you share is visible to other users and can be read, collected, or used by them. You are responsible for the personal information you choose to share or submit in these instances. For example, if you list your name and email address in a forum posting, that information is public. Please take care when using these features.",Apple,0,0,0,0,0,10,0,0,0,0,3,0,0,0,2,10,0,0
"Tweets, Following, Lists and other Public Information: Our Services are primarily designed to help you share information with the world. Most of the information you provide us through the Twitter Services is information you are asking us to make public. Your public information includes the messages you Tweet; the metadata provided with Tweets, such as when you Tweeted and the client application you used to Tweet; the language and time zone associated with your account; and the lists you create, people you follow, Tweets you mark as likes or Retweet, and many other bits of information that result from your use of the Twitter Services. We may use this information to make inferences, like what topics you may be interested in, and to customize the content we show you, including ads. Our default is almost always to make the information you provide through the Twitter Services public for as long as you do not delete it, but we generally give you settings or features, like direct messages, to make the information more private if you want.",Twitter,0,0,0,0,0,16,0,2,3,0,1,0,0,0,0,16,0,5
"Additional Information: You may provide us with profile information to make public on the Twitter Services, such as a short biography, your location, your website, date of birth, or a picture. For certain profile information fields we provide you with visibility settings to select who can see this information in your profile. If you provide us with profile information and you don’t see a visibility setting, that information is public. You may choose to upload and sync your address book so that we can help you find and connect with users you know or help other users find and connect with you. We may later tailor content, such as making suggestions or showing user accounts and Tweets for you and other users based on imported address book contacts. ",Twitter,1,2,1,1,0,10,0,2,2,2,1,0,0,1,0,10,0,2
"How we use your personal informationThe personal information we collect allows us to keep you posted on Appleís latest product announcements, software updates, and upcoming events. If you donít want to be on our mailing list, you can opt out anytime by updating your preferences.We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.We may use your personal information, including date of birth, to verify identity, assist with identification of users, and to determine appropriate services. For example, we may use date of birth to determine the age of Apple ID account holders.",Apple,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1
"Links: Twitter may keep track of how you interact with links across our Services, including our email notifications, third-party services, and client applications, by redirecting clicks or through other means. We do this to help improve our Services, to provide more relevant advertising, and to be able to share aggregate click statistics such as how many times a particular link was clicked on. Links, Tweets, and direct messages shared on the Services will be processed and links shortened to a http://t.co link. You can learn more about the benefits of link shortening here.",Twitter,1,0,3,0,0,14,0,0,0,0,4,0,0,0,0,14,0,5
"SHARING OF YOUR INFORMATION
Parties with whom you may choose to share your User Content:

Any information or content that you voluntarily disclose for posting to the Service, such as User Content, becomes available to the public, as controlled by any applicable privacy settings that you set. To change your privacy settings on the Service, please change your profile setting. Once you have shared User Content or made it public, that User Content may be re-shared by others.
Subject to your profile and privacy settings, any User Content that you make public is searchable by other Users and subject to use under our Instagram API. The use of the Instagram API is subject to the API Terms of Use which incorporates the terms of this Privacy Policy.
If you remove information that you posted to the Service, copies may remain viewable in cached and archived pages of the Service, or if other Users or third parties using the Instagram API have copied or saved that information.",Instagram,0,0,2,1,0,12,0,3,2,2,4,0,0,2,0,12,0,3
"Location-Based ServicesTo provide location-based services on Apple products, Apple and our partners and licensees may collect, use, and share precise location data, including the real-time geographic location of your Apple computer or device. Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devicesí approximate location. Unless you provide consent, this location data is collected anonymously in a form that does not personally identify you and is used by Apple and our partners and licensees to provide and improve location-based products and services. For example, your device may share its geographic location with application providers when you opt in to their location services.Some location-based services offered by Apple, such as the ìFind My iPhoneî feature, require your personal information for the feature to work.",Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Service Providers

We contract with other companies to provide services on our behalf, including credit-card and billing processing, ad serving, shipping, email distribution, list processing and analytics or promotions management. We provide these companies only with the information they need to perform their services. These service providers are restricted from using personal information in any way other than to provide services for The New York Times, and they may not share, resell or use the data for their own direct marketing purposes.

We reserve the right to disclose your opt-out information to third parties so they can suppress your name from future solicitations, in accordance with applicable laws. We may occasionally release personal information as required by law, for example, to comply with a court order or subpoena. (For more information, see the ""Compliance with Legal Process"" section of this policy.)",NY Times,0,0,0,3,0,18,0,0,0,0,7,0,0,8,1,18,0,0
