paragraph,company,are_they_making_money_off_the_data,can_they_access_other_data_on_your_phone_without_your_permission,can_they_track_your_search_history_outside_of_the_service,can_you_opt_out_of_sections_of_the_policy,conscientious,text_addresses_questions,do_they_protect_information_about_children,do_they_sell_demographic_information,do_they_sell_geolocation_data,do_they_sell_your_data_to_just_anyone,do_they_sell_your_data_to_trusted_3rd_parties,do_you_own_the_pictures_you_post,if_you_delete_your_account_is_your_data_deleted,is_data_provided_to_law_enforcement,is_your_sensitive_financial_data_protected,text_addresses_questions,text_doesnt_address_questions,will_this_company_use_your_data_in_advertising
"Widget Data: We may tailor the Services for you based on your visits to third-party websites that integrate Twitter buttons or widgets. When these websites first load our buttons or widgets for display, we receive Log Data that includes the web page you visited and a cookie that identifies your browser (“Widget Data”). After a maximum of 10 days, we start the process of deleting, de-identifying, or aggregating Widget Data, which is usually instantaneous but in some cases may take up to a week. We may use Widget Data to tailor content for you, such as suggestions for people to follow and other content you may be interested in. Tailored content is stored with only browser cookies or device IDs and is separated from other Widget Data such as page-visit information. Learn more about the feature, including how you can suspend it or turn it off, here. For Tweets, Log Data, and other information that we receive from interactions with Twitter buttons or widgets, please see the other sections of this Privacy Policy.",Twitter,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"WHAT IS OUR EMAIL POLICY?
The New York Times complies with the federal CAN-SPAM Act of 2003. We will not send you marketing messages if you have opted out. You can choose not to receive messages in the future by either (1) following the ""unsubscribe"" instructions located near the bottom of each email, or (2) you can opt-out here. We will not share, sell, rent, swap or authorize any third party to use your email address for commercial purposes without your permission. If you feel you have received an email from us in error, please contact feedback@nytimes.com.

Email Newsletters. The New York Times offers several email newsletters. If you no longer wish to receive a specific newsletter, follow the ""unsubscribe"" instructions located near the bottom of each newsletter. To manage your newsletter preferences, please click here.",NY Times,No,No,No,Maybe,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"SHARING OF YOUR INFORMATION
We may access, preserve and share your information in response to a legal request (like a search warrant, court order or subpoena) if we have a good faith belief that the law requires us to do so. This may include responding to legal requests from jurisdictions outside of the United States where we have a good faith belief that the response is required by law in that jurisdiction, affects users in that jurisdiction, and is consistent with internationally recognized standards. We may also access, preserve and share information when we have a good faith belief it is necessary to: detect, prevent and address fraud and other illegal activity; to protect ourselves, you and others, including as part of investigations; and to prevent death or imminent bodily harm. Information we receive about you may be accessed, processed and retained for an extended period of time when it is the subject of a legal request or obligation, governmental investigation, or investigations concerning possible violations of our terms or policies, or otherwise to prevent harm.",Instagram,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No
"You can delete your imported address book contacts at any time. Learn more here. If you email us, we may keep your message, email address and contact information to respond to your request. If you connect your account on our Services to your account on another service in order to cross-post between our Services and that service, the other service may send us your registration or profile information on that service and other information that you authorize. This information enables cross-posting, helps us improve the Services, and is deleted from our Services within a few weeks of your disconnecting from our Services your account on the other service. Learn more here. Providing the additional information described in this section is entirely optional.",Twitter,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"We regularly review our compliance with our Privacy Policy. We also adhere to several self regulatory frameworks. When we
receive formal written complaints, we will contact the person who made the complaint to follow up. We work with the appropriate
regulatory authorities, including local data protection authorities, to resolve any complaints regarding the transfer of personal
data that we cannot resolve with our users directly.
Changes
Our Privacy Policy may change from time to time. We will not reduce your rights under this Privacy Policy without your explicit
consent. We will post any privacy policy changes on this page and, if the changes are significant, we will provide a more
prominent notice (including, for certain services, email notification of privacy policy changes). We will also keep prior versions of
this Privacy Policy in an archive for your review.",Google,No,No,No,No,No,Maybe,No,No,No,No,No,No,No,No,No,Maybe,No,No
"Commerce Services: You may provide your payment information, including your credit or debit card number, card expiration date, CVV code, and billing address (collectively, “Payment Information”), along with your shipping address, to complete a commerce transaction through our Services. To facilitate future purchases, we store your Payment Information (excluding CVV code) and shipping address, which you can remove from your account at any time using your account settings. We consider your Payment Information and shipping address private and do not make such information public. We collect and store information created by your purchases made through our Services (“Transaction Data”). Transaction Data may include the merchant’s name and the date, time, and amount of the transaction.",Twitter,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No
"How we use information we collect
If you have a Google Account, we may display your Profile name, Profile photo, and actions you take on Google or on thirdparty
applications connected to your Google Account (such as +1’s, reviews you write and comments you post) in our services,
including displaying in ads and other commercial contexts. We will respect the choices you make to limit sharing or visibility
settings in your Google Account. When you contact Google, we keep a record of your communication to help solve any issues you might be facing. We may use
your email address to inform you about our services, such as letting you know about upcoming changes or improvements.
We use information collected from cookies and other technologies, like pixel tags, to improve your user experience and the
overall quality of our services. One of the products we use to do this on our own services is Google Analytics. For example, by
saving your language preferences, we’ll be able to have our services appear in the language you prefer. When showing you
tailored ads, we will not associate an identifier from cookies or similar technologies with sensitive categories, such as those
based on race, religion, sexual orientation or health.",Google,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
"What personal information we collectWhen you create an Apple ID, apply for commercial credit, purchase a product, download a software update, register for a class at an Apple Retail Store, contact us or participate in an online survey, we may collect a variety of information, including your name, mailing address, phone number, email address, contact preferences, and credit card information.When you share your content with family and friends using Apple products, send gift certificates and products, or invite others to participate in Apple services or forums, Apple may collect the information you provide about those people such as name, mailing address, email address, and phone number. Apple will use such information to fulfill your requests, provide the relevant product or service, or for anti-fraud purposes.In the U.S., we may ask for a government issued ID in limited circumstances including when setting up a wireless account and activating your device, for the purpose of extending commercial credit, managing reservations, or as required by law.",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Third_Party Sites and ServicesApple websites, products, applications, and services may contain links to third-party websites, products, and services. Our products and services may also use or offer products or services from third parties _ for example, a third_party iPhone app. Information collected by third parties, which may include such things as location data or contact details, is governed by their privacy practices. We encourage you to learn about the privacy practices of those third parties.",Apple,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"Personal information is data that can be used to identify or contact a single person.You may be asked to provide your personal information anytime you are in contact with Apple or an Apple affiliated company. Apple and its affiliates may share this personal information with each other and use it consistent with this Privacy Policy. They may also combine it with other information to provide and improve our products, services, content, and advertising. You are not required to provide the personal information that we have requested, but, if you chose not to do so, in many cases we will not be able to provide you with our products or services or respond to any queries you may have.Here are some examples of the types of personal information Apple may collect and how we may use it:",Apple,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,Maybe
"CHILDREN'S PRIVACY

Instagram does not knowingly collect or solicit any information from anyone under the age of 13 or knowingly allow such persons to register for the Service. The Service and its content are not directed at children under the age of 13. In the event that we learn that we have collected personal information from a child under age 13 without parental consent, we will delete that information as quickly as possible. If you believe that we might have any information from or about a child under 13, please contact us.",Instagram,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
"Transparency and choice
People have different privacy concerns. Our goal is to be clear about what information we collect, so that you can make
meaningful choices about how it is used. For example, you can:
Review and update your Google activity controls to decide what types of data, such as videos you’ve watched on
YouTube or past searches, you would like saved with your account when you use Google services. You can also visit
these controls to manage whether certain activity is stored in a cookie or similar technology on your device when you
use our services while signed­out of your account.
Review and control certain types of information tied to your Google Account by using Google Dashboard.",Google,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Disclosure to Third PartiesAt times Apple may make certain personal information available to strategic partners that work with Apple to provide products and services, or that help Apple market to customers. For example, when you purchase and activate your iPhone, you authorize Apple and your carrier to exchange the information you provide during the activation process to carry out service. If you are approved for service, your account will be governed by Apple and your carrierís respective privacy policies. Personal information will only be shared by Apple to provide or improve our products, services and advertising; it will not be shared with third parties for their marketing purposes.Service ProvidersApple shares personal information with companies who provide services such as information processing, extending credit, fulfilling customer orders, delivering products to you, managing and enhancing customer data, providing customer service, assessing your interest in our products and services, and conducting customer research or satisfaction surveys. These companies are obligated to protect your information and may be located wherever Apple operates.",Apple,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Maybe
"Our Services instantly connect people everywhere to what’s most meaningful to them. Any registered user of the Twitter Services can send a Tweet, which is a message of 140 characters or less that is public by default and can include other content like photos, videos, and links to other websites.

This Privacy Policy (“Policy”) describes how and when Twitter collects, uses and shares your information when you use our Services. Twitter receives your information through our various websites, SMS, APIs, email notifications, applications, buttons, widgets, ads, commerce services (the “Twitter Services”), and our other covered services that link to this Policy (collectively, the “Services”) and from our partners and other third parties. For example, you send us information when you use our Services on the web, via SMS, or from an application such as Twitter for Mac, Twitter for Android or TweetDeck. When using any of our Services you consent to the collection, transfer, storage, disclosure, and use of your information as described in this Privacy Policy.",Twitter,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"HOW WE STORE YOUR INFORMATION

Storage and Processing:

Your information collected through the Service may be stored and processed in the United States or any other country in which Instagram, its Affiliates or Service Providers maintain facilities.
Instagram, its Affiliates, or Service Providers may transfer information that we collect about you, including personal information across borders and from your country or jurisdiction to other countries or jurisdictions around the world. If you are located in the European Union or other regions with laws governing data collection and use that may differ from U.S. law, please note that we may transfer information, including personal information, to a country and jurisdiction that does not have the same data protection laws as your jurisdiction.
By registering for and using the Service you consent to the transfer of information to the U.S. or to any other country in which Instagram, its Affiliates or Service Providers maintain facilities and the use and disclosure of information about you as described in this Privacy Policy.
",Instagram,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"Data we store
- We retain data as needed for our business purposes and/or as required by law.
- We make good faith efforts to store data securely, but can make no guarantees.
- You may access and update certain data about you via your account login.

Circumstances in which we may disclose user data:
- to vendors and service providers (e.g. payment processors) working on our behalf.
- to respond to subpoenas, search warrants, court orders, or other legal process.
- to protect our rights, property, or safety, or that of users of CL or the general public.
- with your consent (e.g. if you authorize us to share data with other users).
- in connection with a merger, bankruptcy, or sale/transfer of assets.
in aggregate/summary form, where it cannot reasonably be used to identify you.
- International Users - By accessing CL or providing us data, you agree we may use and disclose data we collect as described here or as communicated to you, transmit it outside your resident jurisdiction, and store it on servers in the United States. For more information please contact our privacy officer at privacy@craigslist.org.",Craigslist,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No
"Log Data: When you use our Services, we may receive information (“Log Data”) such as your IP address, browser type, operating system, the referring web page, pages visited, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information. We receive Log Data when you interact with our Services, for example, when you visit our websites, sign into our Services, interact with our email notifications, use your account to authenticate to a third-party website or application, or visit a third-party service that includes a Twitter button or widget. ",Twitter,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Information we share
We may share non­personally identifiable information publicly and with our partners – like publishers, advertisers or connected
sites. For example, we may share information publicly to show trends about the general use of our services.
If Google is involved in a merger, acquisition or asset sale, we will continue to ensure the confidentiality of any personal
information and give affected users notice before personal information is transferred or becomes subject to a different privacy
policy.",Google,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"How we use information we collect
We use the information we collect from all of our services to provide, maintain, protect and improve them, to develop new
ones, and to protect Google and our users. We also use this information to offer you tailored content – like giving you more
relevant search results and ads.
We may use the name you provide for your Google Profile across all of the services we offer that require a Google Account. In
addition, we may replace past names associated with your Google Account so that you are represented consistently across all
our services. If other users already have your email, or other information that identifies you, we may show them your publicly
visible Google Profile information, such as your name and photo.",Google,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Maybe
"Cookies and similar technologies
Information we collect when you are signed in to Google, in addition to information we obtain about you from partners, may be
associated with your Google Account. When information is associated with your Google Account, we treat it as personal
information. For more information about how you can access, manage or delete information that is associated with your Google
Account, visit the Transparency and choice section of this policy.",Google,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Accessing and Modifying Your Personal Information

You can also permanently delete your Twitter account. If you follow the instructions here, your account will be deactivated and then deleted. When your account is deactivated, it is not viewable on Twitter.com. For up to 30 days after deactivation it is still possible to restore your account if it was accidentally or wrongfully deactivated. Absent a separate arrangement between you and Twitter to extend your deactivation period, after 30 days, we begin the process of deleting your account from our systems, which can take up to a week.


Keep in mind that search engines and other third parties may still retain copies of your public information, like your user profile information and public Tweets, even after you have deleted the information from the Twitter Services or deactivated your account. Learn more here.",Twitter,No,No,No,Maybe,No,Yes,No,Yes,Yes,Maybe,Yes,No,Yes,No,No,Yes,No,No
"Information you share
Many of our services let you share information with others. Remember that when you share information publicly, it may be
indexable by search engines, including Google. Our services provide you with different options on sharing and removing your
content.
Accessing and updating your personal information
Whenever you use our services, we aim to provide you with access to your personal information. If that information is wrong,
we strive to give you ways to update it quickly or to delete it – unless we have to keep that information for legitimate business or
legal purposes. When updating your personal information, we may ask you to verify your identity before we can act on your
request.",Google,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Cookies and Other TechnologiesApple and our partners also use cookies and other technologies to remember personal information when you use our website, online services, and applications. Our goal in these cases is to make your experience with Apple more convenient and personal. For example, knowing your first name lets us welcome you the next time you visit the Apple Online Store. Knowing your country and language _ and if you are an educator, your school _ helps us provide a customized and more useful shopping experience. Knowing someone using your computer or device has shopped for a certain product or used a particular service helps us make our advertising and email communications more relevant to your interests. And knowing your contact information, hardware identifiers, and information about your computer or device helps us personalize your operating system, set up your iCloud service, and provide you with better customer service.",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Maybe
"Location information
When you use Google services, we may collect and process information about your actual location. We use
various technologies to determine location, including IP address, GPS, and other sensors that may, for
example, provide Google with information on nearby devices, Wi­Fi access points and cell towers.
Unique application numbers
Certain services include a unique application number. This number and information about your installation (for
example, the operating system type and application version number) may be sent to Google when you install or
uninstall that service or when that service periodically contacts our servers, such as for automatic updates.
Local storage
We may collect and store information (including personal information) locally on your device using mechanisms
such as browser web storage (including HTML 5) and application data caches.",Google,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No
"User Generated Content and Public Activities (Including Comments, Reader Reviews and TimesPeople)

We are not responsible for the personal information you choose to submit in the course of your public activities and we have no responsibility to publish, take down, remove or edit any of your public activities or submissions. 

Public activities may be included in our RSS feeds, APIs and other distribution formats. As a result, your public activities may appear on other websites, blogs, or feeds. Keep in mind that we are not responsible for any personal information you choose to make public via your public activities, and you agree that such sharing will be deemed to have been done by you, not The New York Times. Please see our Comments FAQ for additional information.

When you share or recommend links to content on a third-party platform (such as Facebook, Google+ and Twitter), that action and any information you share will be covered by their privacy policy.",NY Times,No,No,No,No,No,Yes,No,No,No,Maybe,No,No,No,No,No,Yes,No,No
"Cookies and Other TechnologiesIf you want to disable cookies and you’re using the Safari web browser, go to Safari preferences and then to the privacy pane to disable cookies. On your Apple mobile device, go to Settings, then Safari, and then to the Cookies section. For other browsers, check with your provider to find out how to disable cookies. Please note that certain features of the Apple website will not be available once cookies are disabled.As is true of most internet services, we gather some information automatically and store it in log files. This information includes Internet Protocol (IP) addresses, browser type and language, Internet service provider (ISP), referring and exit websites and applications, operating system, date/time stamp, and clickstream data.We use this information to understand and analyze trends, to administer the site, to learn about user behavior on the site, to improve our product and services, and to gather demographic information about our user base as a whole. Apple may use this information in our marketing and advertising services.",Apple,No,No,No,No,No,Yes,No,Maybe,No,No,No,No,No,No,No,Yes,No,Yes
"1. INFORMATION WE COLLECT

We collect the following types of information.

Information you provide us directly:

Your username, password and e-mail address when you register for an Instagram account.
Profile information that you provide for your user profile (e.g., first and last name, picture, phone number). This information allows us to help you or others be ""found"" on Instagram.
User Content (e.g., photos, comments, and other materials) that you post to the Service.
Communications between you and Instagram. For example, we may send you Service-related emails (e.g., account verification, changes/updates to features of the Service, technical and security notices). Note that you may not opt out of Service-related e-mails.",Instagram,No,No,No,No,No,Maybe,No,No,No,No,No,No,No,No,No,Maybe,No,No
"WHAT DO WE DO WITH THE INFORMATION WE GATHER ABOUT YOU?
Provide the Services You Request

We use the information we gather about you to enable your use of the NYT Services and fulfill your requests for certain products and services, such as sending out electronic newsletters and enabling you to participate in and renew paid services, polls, contests and message boards.

Statistical Analysis

We perform statistical, demographic and marketing analyses of users of the NYT Services, and their subscribing and purchasing patterns, for product development purposes and to generally inform advertisers about the nature of our subscriber base. We use this information for analysis purposes, including analysis to improve customer relationships.

Email Newsletters

The New York Times will periodically send you email newsletters or promotional email about services offered by The New York Times and its advertisers. For details about New York Times email, please see the section labeled ""What Is Our Email Policy?""",NY Times,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,Yes
"Conferences and Live Events

We often receive information about attendees to our live events from sign-in and registration lists. We may share this information with event or promotion sponsors, in which case we will notify you when we collect the information.

Non-Personal Information Collected Using Technology

Information Collected by Us Using Technology

We use various Internet technologies to manage the NYT Services and track use of the Services. Non-personal information that we collect using these technologies may be combined with other information about you.

Device Information. We may collect non-personal information about the computer, mobile device or other device you use to access the NYT Services, such as IP address, geolocation information, unique device identifiers, browser type, browser language and other transactional information.",NY Times,No,No,No,No,No,Yes,No,No,Maybe,No,Maybe,No,No,No,No,Yes,No,No
"Registration Information

Registration for the NYT Services may require that you supply certain personal information, including a unique email address and demographic information (ZIP code, age, sex, household income, job industry and job title) to register.

You may register or enhance your profile by linking your Facebook or Google accounts on NYTimes.com. By doing this, you are asking them to send us certain information from those social media accounts, and you are authorizing us to collect, store, and use what they send us in accordance with this Privacy Policy. You can unlink your social media accounts or control what they share from their privacy controls.

Social media registration features may collect your IP address, the page you are visiting on our site, and may set a cookie to enable the feature to function properly. Social media features and widgets are either hosted by a third party or hosted directly on our web site.

You can disassociate your NYTimes.com registration from third-party accounts any time. For more detail, please see our Social Media FAQ.",NY Times,No,No,No,Maybe,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"When this Privacy Policy applies
Our Privacy Policy applies to all of the services offered by Google Inc. and its affiliates, including YouTube, services Google
provides on Android devices, and services offered on other sites (such as our advertising services), but excludes services that
have separate privacy policies that do not incorporate this Privacy Policy.
Our Privacy Policy does not apply to services offered by other companies or individuals, including products or sites that may be
displayed to you in search results, sites that may include Google services, or other sites linked from our services. Our Privacy
Policy does not cover the information practices of other companies and organizations who advertise our services, and who may
use cookies, pixel tags and other technologies to serve and offer relevant ads.
Compliance and cooperation with regulatory authorities",Google,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Location Information: Twitter may receive information about your location. For example, you may choose to publish your location in your Tweets and in your Twitter profile. You may also tell us your location when you set your trend location on Twitter.com. We may also determine location by using other data from your device, such as precise location information from GPS, information about wireless networks or cell towers near your mobile device, or your IP address. We may use and store information about your location to provide features of our Services, such as Tweeting with your location, and to improve and customize the Services, for example, with more relevant content like local trends, stories, ads, and suggestions for people to follow. Learn more about our use of location here, and how to set your location preferences here.",Twitter,No,No,No,No,No,Yes,No,No,Maybe,No,No,No,No,No,No,Yes,No,No
"INFORMATION WE COLLECT
Device identifiers:

When you use a mobile device like a tablet or phone to access our Service, we may access, collect, monitor, store on your device, and/or remotely store one or more ""device identifiers."" Device identifiers are small data files or similar data structures stored on or associated with your mobile device, which uniquely identify your mobile device. A device identifier may be data stored in connection with the device hardware, data stored in connection with the device's operating system or other software, or data sent to the device by Instagram.
A device identifier may deliver information to us or to a third party partner about how you browse and use the Service and may help us or others provide reports or personalized content and ads. Some features of the Service may not function properly if use or availability of device identifiers is impaired or disabled.",Instagram,No,Maybe,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"Access to Personal InformationYou can help ensure that your contact information and preferences are accurate, complete, and up to date by logging in to your account at https://appleid.apple.com/. For other personal information we hold, we will provide you with access for any purpose including to request that we correct the data if it is inaccurate or delete the data if Apple is not required to retain it by law or for legitimate business purposes. We may decline to process requests that are frivolous/vexatious, jeopardize the privacy of others, are extremely impractical, or for which access is not otherwise required by local law. Access, correction, or deletion requests can be made through the regional Privacy Contact Form.",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Maybe,No,Yes,No,No
"Information security
We work hard to protect Google and our users from unauthorized access to or unauthorized alteration, disclosure or destruction
of information we hold. In particular:
We encrypt many of our services using SSL.
We offer you two step verification when you access your Google Account, and a Safe Browsing feature in Google
Chrome.
We review our information collection, storage and processing practices, including physical security measures, to guard
against unauthorized access to systems.
We restrict access to personal information to Google employees, contractors and agents who need to know that
information in order to process it for us, and who are subject to strict contractual confidentiality obligations and may be
disciplined or terminated if they fail to meet these obligations.",Google,No,No,No,No,No,Maybe,No,No,No,No,No,No,No,No,No,Maybe,No,No
"Accessing and updating your personal information
We may reject requests that are unreasonably repetitive, require disproportionate technical effort (for example, developing a
new system or fundamentally changing an existing practice), risk the privacy of others, or would be extremely impractical (for
instance, requests concerning information residing on backup systems).
Where we can provide information access and correction, we will do so for free, except where it would require a
disproportionate effort. We aim to maintain our services in a manner that protects information from accidental or malicious
destruction. Because of this, after you delete information from our services, we may not immediately delete residual copies from
our active servers and may not remove information from our backup systems.",Google,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"We may collect and store details of how you use our services, including search queries. This information may be used to improve the relevancy of results provided by our services. Except in limited instances to ensure quality of our services over the Internet, such information will not be associated with your IP address.With your explicit consent, we may collect data about how you use your device and applications in order to help app developers improve their apps.If we do combine non-personal information with personal information the combined information will be treated as personal information for as long as it remains combined.",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Protection of Personal InformationApple takes the security of your personal information very seriously. Apple online services such as the Apple Online Store and iTunes Store protect your personal information during transit using encryption such as Transport Layer Security (TLS). When your personal data is stored by Apple, we use computer systems with limited access housed in facilities using physical security measures. iCloud data is stored in encrypted form including when we utilize third-party storage.When you use some Apple products, services, or applications or post on an Apple forum, chat room, or social networking service, the personal information and content you share is visible to other users and can be read, collected, or used by them. You are responsible for the personal information you choose to share or submit in these instances. For example, if you list your name and email address in a forum posting, that information is public. Please take care when using these features.",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
